New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,13092,,540,390,85,20,15,30,650,509,21,380
,13101,,515,360,90,30,10,25,623,458,39,365
,13104,,"2,895","2,195",210,200,145,145,"4,356","3,519",303,"2,405"
,13108,,"1,400","1,060",135,85,55,65,"2,003","1,595",121,"1,100"
,13110,,570,400,70,30,20,50,764,582,40,395
,13112,,450,280,80,30,25,35,583,406,38,300
,13113,,55,45,5,0,0,5,70,59,0,45
,13116,,745,525,100,45,25,50,"1,012",759,63,555
,13118,,"1,250",870,180,75,40,85,"1,495","1,136",87,900
,13119,,25,20,0,5,0,0,35,25,5,25
,13120,,530,305,110,45,15,55,633,407,59,310
,13122,,195,145,20,15,5,10,261,197,23,150
,13137,,30,20,5,5,0,0,44,29,7,25
,13138,,80,60,10,5,5,0,116,91,6,65
,13141,,155,110,20,5,5,15,190,144,9,110
,13152,,"2,125","1,670",125,130,125,75,"3,116","2,584",192,"1,810"
,13153,,80,50,20,5,0,5,107,74,6,50
,13158,,340,215,60,20,15,30,374,270,23,235
,13159,,"1,110",835,125,50,35,65,"1,542","1,237",64,825
,13164,,440,310,55,20,15,40,578,435,26,300
,13166,,"1,300",815,235,85,45,120,"1,546","1,085",107,865
,13201,,130,65,50,5,0,10,142,83,4,65
,13202,,700,280,290,35,5,90,634,304,29,280
,13203,,"2,725","1,530",685,165,55,290,"3,065","1,979",204,"1,640"
,13204,,"3,180","1,390",995,210,60,525,"3,040","1,610",211,"1,485"
,13205,,"4,540","2,590","1,090",305,75,480,"5,022","3,263",345,"2,805"
,13206,,"3,335","2,030",750,210,90,255,"3,986","2,703",255,"2,135"
,13207,,"2,500","1,430",600,140,45,285,"2,972","1,987",170,"1,450"
,13208,,"3,655","1,950",995,215,100,395,"3,868","2,367",248,"2,105"
,13209,,"3,440","2,435",505,225,85,190,"4,481","3,402",296,"2,530"
,13210,,"1,960","1,110",525,100,50,175,"2,324","1,543",120,"1,180"
,13211,,"1,335",815,285,85,30,120,"1,591","1,089",108,860
,13212,,"5,555","3,915",775,385,145,335,"7,034","5,294",520,"4,150"
,13214,,"1,770","1,305",190,105,65,105,"2,516","2,026",148,"1,385"
,13215,,"3,230","2,410",310,210,120,180,"4,611","3,653",307,"2,530"
,13217,,60,45,10,5,0,0,77,57,3,40
,13218,,555,90,310,10,5,140,468,96,6,105
,13219,,"3,830","2,890",400,250,105,185,"5,187","4,105",368,"3,020"
,13220,,115,70,25,5,0,15,143,102,5,70
,13224,,"1,890","1,325",265,105,70,125,"2,716","2,123",145,"1,420"
,13235,,15,15,0,0,0,0,20,18,0,10
,13738,,25,15,5,5,0,0,28,19,3,15
,13784,,55,30,10,5,0,10,56,37,6,30
,13803,,840,545,140,50,40,65,959,684,58,580
,13863,,130,75,25,5,10,15,134,90,7,85
Troy,,,"42,255","28,415","7,070","2,590","1,115","3,065","53,195","39,219","3,341","29,415"
,12018,,"1,430","1,070",165,70,45,80,"2,001","1,589",98,"1,080"
,12022,,210,150,30,10,5,15,272,210,10,160
,12028,,295,200,45,15,15,20,384,281,23,210
,12040,,45,35,10,0,0,0,58,45,0,35
,12047,,"4,305","2,770",855,275,90,315,"5,313","3,777",339,"2,860"
,12052,,290,220,40,10,10,10,389,311,14,215
,12057,,405,270,55,25,15,40,473,351,26,285
,12082,,85,65,5,10,0,5,120,94,14,75
,12089,,55,45,5,0,5,0,64,53,0,40
,12090,,"1,380",895,240,90,30,125,"1,645","1,187",102,935
,12094,,440,300,70,25,10,35,557,412,35,305
,12110,,"4,450","3,400",450,230,125,245,"5,904","4,706",328,"3,495"
,12118,,"3,265","2,315",465,225,90,170,"4,378","3,329",310,"2,380"
,12121,,415,315,45,20,10,25,548,447,28,315
,12133,,35,25,5,5,0,0,43,34,3,30
,12138,,705,485,115,30,30,45,848,628,34,500
,12140,,370,265,40,30,10,25,484,372,39,275
,12153,,220,165,25,10,10,10,292,228,13,155
,12154,,575,410,75,40,20,30,771,577,55,430
,12170,,"1,135",730,190,70,55,90,"1,449","1,030",92,770
,12180,,"9,570","5,845","2,020",605,225,875,"11,478","8,016",742,"6,170"
,12181,,160,100,40,5,0,15,193,137,7,100
,12182,,"3,355","2,110",665,230,80,270,"4,058","2,871",289,"2,205"
,12183,,570,340,130,35,10,55,669,455,42,355
,12185,,400,270,65,25,20,20,506,371,31,280
,12188,,"2,220","1,545",340,130,65,140,"2,892","2,155",177,"1,565"
,12189,,"3,560","2,335",655,240,60,270,"4,307","3,082",302,"2,395"
,12196,,680,505,55,50,30,40,939,745,72,540
,12198,,"1,630","1,235",170,80,50,95,"2,160","1,726",113,"1,255"
Utica,,,"80,270","52,280","13,535","5,070","2,445","6,940","95,228","68,537","6,148","55,260"
,13032,,"2,915","1,945",485,190,75,220,"3,555","2,592",235,"2,015"
,13043,,20,10,5,5,0,0,22,15,3,10
,13054,,330,220,60,20,10,20,392,278,22,220
,13123,,130,85,25,5,5,10,162,117,8,90
,13134,,20,15,5,0,0,0,24,18,0,15
,13157,,270,200,50,10,5,5,353,278,14,200
,13162,,105,80,20,5,0,0,132,101,7,80
,13163,,120,75,20,10,5,10,140,103,8,75
,13301,,40,25,10,5,0,0,51,35,8,30
,13303,,245,170,40,10,10,15,298,216,16,175
,13304,,425,320,50,25,15,15,595,466,43,325
,13308,,845,505,165,60,40,75,964,652,73,540
,13309,,"1,415",950,210,120,55,80,"1,626","1,181",138,"1,030"
,13310,,160,100,25,10,10,15,183,129,14,110
,13313,,140,75,35,10,5,15,160,101,12,90
,13314,,135,90,20,10,5,10,158,110,14,95
,13316,,"1,510",980,265,90,60,115,"1,819","1,297",103,"1,005"
,13318,,240,160,45,10,10,15,283,206,13,170
,13319,,175,120,30,15,0,10,224,160,18,130
,13321,,330,215,60,25,10,20,412,288,36,235
,13322,,250,170,50,15,5,10,320,233,16,165
,13323,,"2,530","1,955",225,160,95,95,"3,364","2,749",217,"2,070"
,13324,,535,340,95,30,20,50,602,427,31,345
,13328,,225,150,35,20,10,10,277,196,25,170
,13329,,970,635,155,45,35,100,"1,100",793,53,655
,13331,,115,85,10,10,5,5,148,119,8,90
,13332,,550,375,85,25,15,50,603,457,27,375
,13334,,325,210,50,15,15,35,370,271,19,210
,13338,,445,285,85,25,20,30,523,369,26,295
,13340,,"1,915","1,290",330,100,70,125,"2,313","1,685",122,"1,345"
,13341,,25,20,5,0,0,0,33,26,0,20
,13346,,955,735,85,55,40,40,"1,270","1,047",71,790
,13350,,"2,570","1,665",410,180,75,240,"2,968","2,128",214,"1,795"
,13352,,70,45,15,5,0,5,77,47,5,45
,13354,,720,515,100,30,30,45,880,672,38,525
,13355,,180,120,30,10,5,15,204,152,14,125
,13357,,"2,670","1,725",485,170,75,215,"3,136","2,244",203,"1,785"
,13360,,140,115,10,10,5,0,180,150,15,115
,13361,,150,110,20,5,10,5,162,123,5,115
,13363,,600,380,130,40,20,30,737,505,45,390
,13364,,55,35,10,5,0,5,70,48,5,35
,13365,,"2,175","1,365",410,140,65,195,"2,450","1,716",159,"1,410"
,13401,,30,25,5,0,0,0,44,35,0,25
,13402,,290,190,45,20,10,25,320,231,22,195
,13403,,"1,085",810,140,55,35,45,"1,423","1,109",76,820
,13406,,180,115,25,10,5,25,205,142,14,125
,13407,,"1,370",925,185,110,45,105,"1,597","1,175",136,975
,13408,,530,355,85,35,15,40,632,456,46,375
,13409,,450,310,60,30,20,30,529,394,33,320
,13413,,"4,080","3,200",310,265,145,160,"5,649","4,637",369,"3,385"
,13416,,490,340,65,30,15,40,590,437,36,345
,13417,,890,635,130,50,20,55,"1,092",835,64,660
,13418,,45,25,5,5,5,5,47,30,6,30
,13420,,450,380,35,20,5,10,594,515,27,370
,13421,,"3,135","1,925",590,235,100,285,"3,648","2,514",276,"2,050"
,13424,,545,385,75,45,15,25,698,519,54,415
,13425,,485,330,80,30,20,25,571,419,37,340
,13431,,430,295,50,30,15,40,505,374,39,300
,13435,,90,70,10,5,5,0,128,96,8,75
,13438,,850,590,125,50,35,50,"1,057",787,62,605
,13440,,"10,695","6,245","1,875",690,320,"1,565","12,130","7,947",782,"6,900"
,13442,,330,175,80,15,5,55,369,227,17,190
,13454,,225,150,35,15,5,20,258,182,17,145
,13455,,25,15,5,5,0,0,28,18,3,15
,13456,,910,650,105,60,40,55,"1,174",911,82,690
,13461,,830,650,85,50,20,25,"1,109",908,63,660
,13469,,165,105,30,10,5,15,206,144,14,105
,13471,,715,385,175,50,25,80,788,484,58,415
,13472,,60,50,0,5,5,0,84,75,3,50
,13475,,50,35,5,5,0,5,54,37,5,35
,13476,,755,500,125,50,25,55,932,663,62,515
,13477,,280,190,40,15,15,20,331,241,20,200
,13478,,720,515,100,45,25,35,881,671,59,535
,13479,,50,40,5,0,0,5,69,56,0,40
,13480,,720,490,105,65,20,40,864,644,75,525
,13483,,60,35,15,5,0,5,67,42,6,35
,13484,,45,35,5,5,0,0,57,44,7,40
,13486,,185,130,30,10,5,10,236,172,13,135
,13490,,305,195,60,15,10,25,386,273,21,205
,13491,,870,600,125,55,30,60,"1,029",775,63,630
,13492,,"2,930","2,160",370,175,70,155,"3,845","3,002",240,"2,235"
,13494,,135,110,10,10,0,5,167,139,11,105
,13495,,485,335,80,30,10,30,595,446,39,350
,13501,,"8,080","4,315","2,005",480,180,"1,100","8,449","5,385",546,"4,705"
,13502,,"7,055","4,395","1,455",425,180,600,"8,017","5,599",506,"4,655"
,13503,,215,90,85,5,5,30,205,107,5,95
,13504,,130,75,25,15,0,15,141,91,12,90
,13505,,80,40,25,5,0,10,88,49,5,40
Watertown,,,"27,705","17,585","4,615","2,085","1,190","2,230","32,080","22,442","2,501","18,815"
,13305,,100,85,10,0,5,0,124,111,0,80
,13312,,155,130,10,5,5,5,214,189,8,130
,13325,,210,135,30,20,10,15,240,165,21,145
,13327,,535,355,65,45,35,35,605,442,55,380
,13343,,460,285,90,25,20,40,534,365,32,295
,13345,,30,20,5,5,0,0,39,24,8,15
,13367,,"1,950","1,230",300,185,85,150,"2,215","1,532",206,"1,365"
,13368,,325,200,60,20,15,30,372,259,26,210
,13404,,35,25,5,5,0,0,39,31,2,25
,13433,,405,240,95,30,10,30,448,289,35,245
,13473,,140,110,10,10,5,5,164,132,13,115
,13489,,150,85,30,15,5,15,160,101,14,85
,13601,,"7,610","4,490","1,450",620,280,770,"8,568","5,730",742,"4,955"
,13602,,15,5,5,0,0,5,13,3,0,0
,13603,,110,15,25,0,5,65,80,15,0,15
,13605,,965,595,165,75,50,80,"1,107",768,89,650
,13606,,525,330,105,25,35,30,617,427,27,350
,13607,,580,445,60,35,15,25,705,567,46,430
,13608,,345,185,70,20,20,50,372,236,21,205
,13611,,80,55,10,5,5,5,89,64,7,55
,13612,,555,365,95,35,15,45,638,454,42,370
,13615,,290,210,25,25,10,20,355,271,29,215
,13616,,230,150,35,15,5,25,253,177,17,155
,13618,,655,480,75,40,20,40,826,654,52,505
,13619,,"2,000","1,210",355,195,105,135,"2,310","1,524",235,"1,365"
,13620,,415,260,65,25,30,35,455,317,27,280
,13622,,565,410,75,25,25,30,692,529,36,415
,13624,,"1,125",850,105,85,40,45,"1,401","1,115",101,895
,13626,,435,265,80,25,30,35,490,327,28,290
,13627,,25,20,0,0,5,0,25,21,0,20
,13628,,60,40,5,5,5,5,75,60,5,45
,13632,,50,35,10,5,0,0,60,43,5,40
,13634,,890,580,160,70,25,55,"1,103",762,88,590
,13636,,85,55,10,5,5,10,97,70,9,60
,13637,,475,275,85,40,25,50,533,350,43,300
,13638,,70,40,10,5,5,10,77,51,9,40
,13640,,185,155,10,10,10,0,262,227,14,165
,13641,,50,45,5,0,0,0,67,63,0,45
,13643,,80,50,20,5,0,5,93,62,8,55
,13648,,695,405,135,65,55,35,854,545,86,475
,13650,,360,260,45,25,15,15,440,333,30,275
,13651,,105,85,5,5,5,5,148,123,11,90
,13656,,515,310,100,35,20,50,554,365,43,330
,13659,,115,80,20,5,5,5,122,92,5,80
,13661,,315,200,50,20,25,20,368,256,26,215
,13665,,185,110,40,10,5,20,204,125,14,105
,13673,,385,240,70,30,15,30,422,286,33,235
,13674,,50,35,5,5,0,5,59,43,5,40
,13675,,40,25,10,0,0,5,40,27,0,20
,13679,,445,295,70,30,15,35,503,358,37,305
,13682,,160,110,30,10,5,5,189,132,10,110
,13685,,535,390,65,25,25,30,695,549,30,395
,13691,,595,340,125,45,20,65,653,426,48,340
,13692,,40,35,0,5,0,0,52,44,6,40
,13693,,200,150,20,10,15,5,260,211,14,160
West Nyack,,,"55,535","39,935","5,535","3,025","2,595","4,445","79,804","62,368","4,327","43,640"
,10901,,"4,940","3,815",385,325,220,195,"7,607","6,221",475,"4,220"
,10913,,"1,165",850,75,55,55,130,"1,649","1,278",89,935
,10920,,"1,815","1,225",210,95,65,220,"2,620","1,944",136,"1,340"
,10923,,"1,685","1,125",280,90,55,135,"2,263","1,639",128,"1,185"
,10927,,"2,035","1,250",370,115,85,215,"2,229","1,529",132,"1,355"
,10931,,160,110,25,10,5,10,224,163,14,115
,10952,,"3,775","2,565",315,240,355,300,"4,982","3,868",338,"3,035"
,10954,,"4,990","3,550",495,310,205,430,"7,293","5,606",452,"3,870"
,10956,,"6,755","5,205",500,330,335,385,"10,617","8,730",497,"5,640"
,10960,,"2,725","2,090",270,140,105,120,"4,128","3,383",208,"2,215"
,10962,,"1,360",900,195,40,50,175,"1,948","1,473",63,970
,10964,,350,285,10,25,15,15,568,479,41,305
,10965,,"3,150","2,395",260,185,150,160,"4,917","3,933",284,"2,605"
,10968,,520,435,20,25,25,15,894,783,45,465
,10970,,"2,055","1,485",265,95,90,120,"3,072","2,406",131,"1,570"
,10974,,585,425,60,35,25,40,852,662,50,460
,10976,,700,580,35,50,10,25,787,649,68,635
,10977,,"6,210","4,340",770,280,320,500,"7,806","6,040",331,"4,630"
,10980,,"2,860","2,060",320,185,115,180,"4,208","3,215",269,"2,220"
,10982,,85,65,5,5,5,5,120,96,8,70
,10983,,"1,215",960,70,65,55,65,"1,901","1,582",97,"1,025"
,10984,,"1,240",440,70,20,25,685,"1,495",692,29,710
,10986,,380,265,50,15,15,35,555,421,22,275
,10989,,"2,160","1,635",210,125,80,110,"3,301","2,648",189,"1,725"
,10993,,990,650,140,75,45,80,"1,190",858,91,725
,10994,,"1,630","1,230",130,90,85,95,"2,578","2,070",140,"1,340"
White Plains,,,"39,775","30,350","3,195","2,205","1,950","2,075","62,300","50,886","3,444","33,335"
,10504,,"1,335",990,60,75,90,120,"2,246","1,822",119,"1,115"
,10510,,"1,720","1,365",75,110,100,70,"2,958","2,480",191,"1,530"
,10523,,"1,215",895,165,50,35,70,"1,781","1,413",67,930
,10530,,"3,305","2,740",195,180,120,70,"5,412","4,645",287,"2,955"
,10532,,"1,330",810,190,70,40,220,"1,843","1,280",108,915
,10533,,"1,285",970,70,70,75,100,"2,121","1,733",122,"1,085"
,10570,,"1,935","1,495",120,105,120,95,"3,162","2,601",166,"1,665"
,10583,,"6,465","5,115",270,400,445,235,"11,250","9,447",685,"5,810"
,10591,,"3,940","2,905",440,220,165,210,"5,687","4,508",326,"3,160"
,10594,,955,745,60,55,40,55,"1,449","1,192",78,815
,10595,,"1,285",975,110,65,40,95,"1,963","1,588",99,"1,055"
,10601,,"2,055","1,480",230,105,110,130,"2,873","2,268",162,"1,650"
,10602,,180,125,35,5,5,10,227,172,5,130
,10603,,"3,280","2,380",395,175,100,230,"4,848","3,807",250,"2,500"
,10604,,"1,750","1,315",165,100,85,85,"2,492","1,978",135,"1,430"
,10605,,"4,170","3,335",250,245,220,120,"6,881","5,830",400,"3,670"
,10606,,"2,150","1,595",250,115,100,90,"2,926","2,302",154,"1,730"
,10607,,"1,420","1,115",115,60,60,70,"2,181","1,820",90,"1,190"
Yonkers,,,"39,910","28,285","5,085","2,495","1,740","2,305","54,832","42,200","3,398","30,990"
,10502,,"1,075",840,75,65,45,50,"1,762","1,457",100,925
,10503,,85,80,0,5,0,0,146,134,8,85
,10522,,"1,795","1,350",140,125,90,90,"2,826","2,248",190,"1,505"
,10701,,"9,205","5,920","1,670",555,375,685,"10,966","7,827",649,"6,460"
,10702,,225,115,75,10,5,20,244,144,9,130
,10703,,"4,130","2,750",645,280,165,290,"5,327","3,868",367,"3,030"
,10704,,"5,945","4,275",715,400,275,280,"8,243","6,269",557,"4,715"
,10705,,"5,320","3,450",905,295,240,430,"6,261","4,542",358,"3,750"
,10706,,"1,730","1,375",80,120,90,65,"2,892","2,426",176,"1,535"
,10708,,"4,445","3,600",230,285,190,140,"7,471","6,301",475,"3,935"
,10710,,"5,955","4,530",550,355,265,255,"8,694","6,984",509,"4,920"
,,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCES: Social Security Administration, Master Beneficiary Record, 100 percent data; and U.S. Postal Service geographic data.",,,,,,,,,,,,
"NOTE: To avoid disclosing the reason for Social Security eligibility and amounts of benefits received, a controlled rounding procedure was used for field office and ZIP Code data. Data are not shown for ZIP Codes with fewer than 15 beneficiaries.",,,,,,,,,,,,
a.,Includes beneficiaries in foreign countries.,,,,,,,,,,,
CONTACT: (410) 965-0090 or statistics@ssa.gov.,,,,,,,,,,,,
,,,,,,,,,,,,
"File available from:
U.S. Social Security Administration • Office of Retirement and Disability Policy • Office of Research, Evaluation, and Statistics
OASDI Beneficiaries by State and ZIP Code, 2015
https://www.socialsecurity.gov/policy/docs/statcomps/oasdi_zip/2015/",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
